code,description_en,description_uk,parent_code
1DDB-BE-FD,East Flanders,Східна Фландрія,1DDB-BE-F
1DDB-BE-FDA,Ghent,Ґент,1DDB-BE-FD
1DDB-BE-FE,West Flanders,Західна Фландрія,1DDB-BE-F
1DDB-BE-FEA,Bruges,Брюґґе,1DDB-BE-FE
1DDB-BE-W,Wallonia / Wallonie,Валлонія,1DDB
1DDB-BE-WA,Wallonian Brabant,Валлонський Брабант,1DDB-BE-W
1DDB-BE-WAA,Wavre,Вавр,1DDB-BE-WA
1DDB-BE-WB,Hainaut,Ено,1DDB-BE-W
1DDB-BE-WBA,Mons,Монс,1DDB-BE-WB
1DDB-BE-WBB,Charleroi,Шарлеруа / Харлерой,1DDB-BE-WB
1DDB-BE-WC,Liège (Province),Льєж (провінція),1DDB-BE-W
1DDB-BE-WCA,Liège,Льєж,1DDB-BE-WC
1DDB-BE-WD,Luxembourg (Province),Люксембурґ (провінція),1DDB-BE-W
1DDB-BE-WDA,Arlon / Arlen,Арлон,1DDB-BE-WD
1DDB-BE-WE,Namur (Province),Намюр (провінція),1DDB-BE-W
1DDB-BE-WEA,Namur,Намюр,1DDB-BE-WE
1DDF,France,Франція. Французька Республіка,1DD
1DDF-FR-X,Regions of France,Регіони Франції,1DDF
1DDF-FR-XA,Auvergne-Rhône-Alpes,Овернь-Рона-Альпи,1DDF-FR-X
1DDF-FR-C,Auvergne,Овернь,1DDF-FR-XA
1DDF-FR-CA,Allier,Альє,1DDF-FR-C
1DDF-FR-CAA,Moulins,Мулен,1DDF-FR-CA
1DDF-FR-CAB,Montluçon,Монлюсон,1DDF-FR-CA
1DDF-FR-CAC,Vichy,Віші,1DDF-FR-CA
1DDF-FR-CB,Cantal,Канталь,1DDF-FR-C
1DDF-FR-CBA,Aurillac,Оріяк,1DDF-FR-CB
1DDF-FR-CBB,Mauriac,Моріак,1DDF-FR-CB
1DDF-FR-CBC,Saint-Flour,Сен-Флур,1DDF-FR-CB
1DDF-FR-CC,Haute-Loire,Верхня Луара,1DDF-FR-C
1DDF-FR-CCA,Le Puy-en-Velay,Ле-Пюї-ан-Веле,1DDF-FR-CC
1DDF-FR-CCB,Brioude,Бріуд,1DDF-FR-CC
1DDF-FR-CCC,Yssingeaux,Іссенжо,1DDF-FR-CC
1DDF-FR-CD,Puy-de-Dôme,Пюї-де-Дом,1DDF-FR-C
1DDF-FR-CDA,Clermont-Ferrand,Клермон-Ферран,1DDF-FR-CD
1DDF-FR-CDB,Ambert,Амбер,1DDF-FR-CD
1DDF-FR-CDC,Issoire,Іссуар,1DDF-FR-CD
1DDF-FR-CDD,Riom,Ріон,1DDF-FR-CD
1DDF-FR-CDE,Thiers,Тьєр,1DDF-FR-CD
1DDF-FR-V,Rhône-Alpes,Рона-Альпи,1DDF-FR-XA
1DDF-FR-VA,Ain,Ен,1DDF-FR-V
1DDF-FR-VAA,Bourg-en-Bresse,Бург-ан-Бресс,1DDF-FR-VA
1DDF-FR-VAB,Belley,Белле,1DDF-FR-VA
1DDF-FR-VAC,Gex,Жекс,1DDF-FR-VA
1DDF-FR-VAD,Nantua,Нантюа,1DDF-FR-VA
1DDF-FR-VB,Ardèche,Ардеш,1DDF-FR-V
1DDF-FR-VBA,Privas,Прива,1DDF-FR-VB
1DDF-FR-VBB,Largentière,Ларжантьєр,1DDF-FR-VB
1DDF-FR-VBC,Tournon-sur-Rhône,Турнон-сюр-Рон,1DDF-FR-VB
1DDF-FR-VC,Drôme,Дром,1DDF-FR-V
1DDF-FR-VCA,Valence,Валанс,1DDF-FR-VC
1DDF-FR-VCB,Die,Ді,1DDF-FR-VC
1DDF-FR-VCC,Nyons,Ніон,1DDF-FR-VC
1DDF-FR-VD,Isère,Ізер,1DDF-FR-V
1DDF-FR-VDA,Grenoble,Ґренобль,1DDF-FR-VD
1DDF-FR-VDB,La Tour-du-Pin,Ла-Тур-дю-Пен,1DDF-FR-VD
1DDF-FR-VDC,Vienne (Isère),В’єнн (Ізер),1DDF-FR-VD
1DDF-FR-VE,Loire,Луара,1DDF-FR-V
1DDF-FR-VEA,Saint-Étienne,Сент-Етьен,1DDF-FR-VE
1DDF-FR-VEB,Montbrison,Монбрізон,1DDF-FR-VE
1DDF-FR-VEC,Roanne,Роанн,1DDF-FR-VE
1DDF-FR-VF,Rhône,Рона,1DDF-FR-V
1DDF-FR-VFA,Lyon,Ліон,1DDF-FR-VF
1DDF-FR-VFB,Villefranche-sur-Saône,Вільфранш-сюр-Сон,1DDF-FR-VF
1DDF-FR-VG,Savoy,Савойя,1DDF-FR-V
1DDF-FR-VGA,Chambéry,Шамбері,1DDF-FR-VG
1DDF-FR-VGB,Albertville,Альбервіль,1DDF-FR-VG
1DDF-FR-VGC,Saint-Jean-de-Maurienne,Сен-Жан-де-Мор’єнн,1DDF-FR-VG
1DDF-FR-VH,Haute-Savoie,Верхня Савойя,1DDF-FR-V
1DDF-FR-VHA,Annecy,Аннесі,1DDF-FR-VH
1DDF-FR-VHB,Bonneville,Боннвіль,1DDF-FR-VH
1DDF-FR-VHC,Chamonix,Шамоні,1DDF-FR-VH
1DDF-FR-VHD,Saint-Julien-en-Genevois,Сен-Жульєн-ан-Женевуа,1DDF-FR-VH
1DDF-FR-VHE,Thonon-les-Bains,Тонон-ле-Бен,1DDF-FR-VH
1DDF-FR-XAZ,Auvergne-Rhône-Alpes: Places of interest,Овернь-Рона-Альпи: визначні місця,1DDF-FR-XA
1DDF-FR-XAZB,Bourbonnais,Бурбоне,1DDF-FR-XAZ
1DDF-FR-XAZF,Forez / Livradois,Форез / Ліврадоа,1DDF-FR-XAZ
1DDF-FR-XAZG,Beaujolais,Божоле,1DDF-FR-XAZ
1DDF-FR-XAZH,Dauphiné / Dauphiny,Дофіне / Дофіні,1DDF-FR-XAZ
1DDF-FR-XAZK,Chablais,Шабле,1DDF-FR-XAZ
1DDF-FR-XB,Bourgogne-Franche-Comté,Бурґундія-Франш-Конте,1DDF-FR-X
